ba_code;ba_codeext;ba_etiquet;ba_lt_code;ba_prop;ba_gest;ba_user;ba_proptyp;ba_statut;ba_etat;ba_rf_code;ba_type;ba_nb_u;ba_haut;ba_larg;ba_prof;ba_comment;ba_creadat;ba_majdate;ba_majsrc;ba_abddate;ba_abdsrc
3004869;3004869;BAIE 06 - IRS - PONT DE NEUILLY LT;3077557;OR21;OR16;;OCC;MCO;OK;RF190;BAIE;42;;;;;09/12/2003 00:00;;;;
3005805;3005805;POP 9T BOULOGNE IRISE;3077918;OR21;OR295;;OCC;MCO;OK;RF190;BAIE;48;;;;;24/09/2002 00:00;;;;
3005379;3005379;ODF IRISE - BO-000002Y6;3077779;OR21;OR16;;OCC;MCO;OK;RF182;BAIE;50;;;;;05/07/2002 00:00;;;;
3005372;3005372;BAIE IRISE - BO-0000043Y;3077779;OR21;OR1;;OCC;MCO;OK;RF190;BAIE;200;;;;;22/12/2011 00:00;;;;
3005786;3005786;BAIE IRISE BO-000003GO;3078209;OR21;OR295;;OCC;MCO;OK;RF190;BAIE;36;;;;;22/06/2004 00:00;;;;
3008204;3008204;BAIE IRISE POP RUNGIS SILIC (XXXX) - BO-000003OC;3079977;OR21;OR295;;OCC;MCO;OK;RF190;BAIE;42;;;;;12/10/2005 00:00;;;;
3012250;3012250;ODF IRISE - BO-000003VI - A18;3082269;OR21;OR295;;OCC;MCO;OK;RF190;BAIE;48;;;;;25/09/2007 00:00;;;;
3019589;3019589;ARMOIRE DE RUE IRS - CARNOT-PREFECTURE (ARMOIRE DE;3086907;OR21;OR16;;OCC;MCO;OK;RF190;BAIE;42;;;;;24/12/2002 00:00;;;;
3005218;3005218;BAIE ODF IRISE 34J;3077703;OR21;OR295;;OCC;MCO;OK;RF183;BAIE;76;;;;;03/02/2003 00:00;;;;
3005464;3005464;IRISE-BO-000003QK-R52;3077608;OR21;OR16;;OCC;MCO;OK;RF190;BAIE;42;;;;;04/07/2006 00:00;;;;
3005954;3005954;BAIE XX LT SHELTER IRISE JOINVILLE;3078285;OR21;OR295;;OCC;MCO;OK;RF190;BAIE;74;;;;;24/09/2002 00:00;;;;
3005854;3005854;BAIE IRISE LT POP IRISE KREMLIN;3077968;OR21;OR16;;OCC;MCO;OK;RF190;BAIE;42;;;;;23/08/2002 00:00;;;;
3021900;3021900;BAIE IRISE ?;3088886;OR21;OR295;;OCC;MCO;OK;RF190;BAIE;42;;;;;09/06/2009 00:00;;;;
3012262;3012262;BAIE IRISE - BO-000003UT - K06;3082279;OR21;OR16;;OCC;MCO;OK;RF190;BAIE;42;;;;;12/06/2007 00:00;;;;
3792141;3792141;COFFRET OUTDROP IRISE;4032697;OR21;OR16;;OCC;MCO;OK;RF184;BAIE;50;;;;;29/04/2013 00:00;;;;
3128140;3128140;BAIE IRISE LT POP NOISY SANEF;3078150;OR21;OR16;;OCC;MCO;OK;RF184;BAIE;50;;;;;15/10/2012 00:00;;;;
3005386;3005386;BAIE ACTIVE IRISE  LT POP BELGACOM AUBERV - D7 BIS;3077779;OR21;OR295;;OCC;MCO;OK;RF190;BAIE;36;;;;;14/02/2003 00:00;;;;
3006269;3006269;ODF IRISE - TRAVEE 3 - BO-000003WO;3078386;OR21;OR295;;OCC;MCO;OK;RF190;BAIE;42;;;;;30/05/2008 00:00;;;;
3019431;3019431;BAIE IRISE;3086752;OR21;OR295;;OCC;MCO;OK;RF190;BAIE;42;;;;;24/06/2008 00:00;;;;
3008200;3008200;COFFRET IRISE AA 001-012;3079974;OR21;OR295;;OCC;MCO;OK;RF190;BAIE;36;;;;;24/10/2005 00:00;;;;
3008958;3008958;OPEX 1131 (VERS IRISE) SC/APC 8DEG;3080654;OR21;OR4;;OCC;MCO;OK;RF190;BAIE;42;;;;;15/04/2010 00:00;;;;
4642397;4642397;BAIE-IRS-24C-AA;5107593;OR21;OR16;;OCC;MCO;OK;RF184;BAIE;50;;;;;29/01/2014 00:00;;;;
4579020;4579020;BAIE IRISE;3079162;OR21;OR16;;OCC;MCO;OK;RF184;BAIE;50;;;;;08/01/2014 00:00;;;;
3012580;3012580;BAIE IRISE (FIBRES EPISSURES) VOIR PLAN DE BOITE S;3082789;OR21;OR16;;OCC;MCO;OK;RF190;BAIE;14;;;;;15/06/2010 00:00;;;;
3023431;3023431;BAIE IRISE - A4 - BO-000003ZC;3090188;OR21;OR295;;OCC;MCO;OK;RF190;BAIE;42;;;;;30/06/2009 00:00;;;;
