cc_cb_code;cc_cd_code;cc_creadat;cc_majdate;cc_majsrc;cc_abddate;cc_abdsrc
44339943;427390;16/04/2024;;;;
44339942;427390;16/04/2024;;;;
4637159;434366;02/08/2011;;;;
8692417;;23/12/2009;;;;
10871091;478505;27/04/2015;;;;
10871092;478505;27/04/2015;;;;
5884706;478505;14/03/2013;;;;
4604875;478505;26/08/2004;;;;
10801637;8174141;01/07/2013;;;;
4605004;435689;01/01/2002;;;;
4637493;653809;18/01/2011;;;;
4611265;439279;10/02/2006;;;;
4602993;439279;03/07/2004;;;;
20453859;487559;27/01/2006;;;;
4633311;463192;20/07/2009;;;;
41893868;428295;23/11/2023;;;;
4609520;429478;28/08/2007;;;;
7443443;978615;28/10/2013;;;;
4605958;487913;04/11/2004;;;;
4614604;489913;26/07/2012;;;;
7534003;489913;25/11/2013;;;;
4614494;8179257;26/07/2012;;;;
4604747;8179257;20/07/2007;;;;
4610214;429865;26/07/2006;;;;
4602165;429865;05/07/2002;;;;
36975779;431378;28/02/2023;;;;
8787953;467726;14/11/2014;;;;
8922946;435904;14/01/2015;;;;
4605758;431809;01/01/2007;;;;
4611247;431809;06/02/2006;;;;
11655157;431809;28/07/2017;;;;
4637998;421550;01/12/2011;;;;
4609562;489579;03/01/2008;;;;
4632213;8048695;10/04/2009;;;;
7035410;728368;15/07/2013;;;;
41619297;465120;07/11/2023;;;;
4600011;436756;04/10/2004;;;;
30295527;436756;22/03/2022;;;;
4610400;490651;27/01/2006;;;;
4614902;430256;12/07/2007;;;;
4608202;507151;22/03/2005;;;;
4607750;507151;21/03/2005;;;;
11012222;426430;10/06/2013;;;;
4603959;433702;28/06/2004;;;;
4598000;;13/11/2008;;;;
4610786;487171;18/10/2006;;;;
4636008;436169;20/09/2010;;;;
4604222;436747;12/04/2002;;;;
4613010;458100;30/07/2007;;;;
4609735;430799;31/03/2005;;;;
4597609;506606;15/11/2002;;;;
4611162;427749;19/02/2007;;;;
4607051;494944;19/09/2006;;;;
4638699;465124;29/09/2011;;;;
4605044;3328391;30/01/2001;;;;
4594357;426414;28/04/2004;;;;
15518114;426414;07/08/2019;;;;
17392998;9340864;13/02/2020;;;;
17863751;9445510;26/03/2020;;;;
4613105;719447;16/05/2006;;;;
4623270;436279;30/06/2011;;;;
4611430;427009;20/07/2006;;;;
4594330;427009;30/01/2001;;;;
8747527;486771;20/03/2008;;;;
4624008;435491;18/05/2011;;;;
7683461;435491;09/01/2014;;;;
4608588;486460;16/01/2006;;;;
4624042;486838;04/04/2011;;;;
4640890;1583170;24/01/2012;;;;
4641525;431337;17/02/2012;;;;
4612473;431337;27/11/2006;;;;
5141969;431414;01/03/2006;;;;
4597854;436561;14/10/2008;;;;
7134467;436561;22/07/2013;;;;
4627756;497863;26/11/2008;;;;
4597652;430521;26/02/2007;;;;
4605636;556200;25/10/2004;;;;
4642527;425516;09/03/2012;;;;
4613230;498839;03/02/2010;;;;
4600027;489820;26/04/2005;;;;
4603618;435339;13/04/2005;;;;
8861185;435339;09/12/2014;;;;
4603457;436943;28/10/2004;;;;
7328561;436943;24/09/2013;;;;
7163745;436943;30/07/2013;;;;
4611220;436606;19/10/2006;;;;
15580343;436606;17/08/2019;;;;
4631222;436606;09/04/2009;;;;
4632346;427619;22/07/2009;;;;
4632277;427619;22/07/2009;;;;
4632275;427619;22/07/2009;;;;
10953023;436988;23/02/2017;;;;
4628441;436081;28/03/2008;;;;
4636907;432922;05/05/2010;;;;
4613125;491260;22/05/2006;;;;
22988266;431785;02/04/2021;;;;
22031474;431922;15/11/2002;;;;
9959492;431570;29/04/2003;;;;
4597855;431570;14/10/2008;;;;
5548369;422944;18/10/2004;;;;
23569061;9361985;11/05/2021;;;;
10958276;1578944;23/01/2014;;;;
12760019;433684;16/04/2018;;;;
4636097;488655;29/11/2010;;;;
4637358;433888;13/05/2011;;;;
