cb_code;cb_codeext;cb_etiquet;cb_nd1;cb_nd2;cb_r1_code;cb_r2_code;cb_r3_code;cb_r4_code;cb_prop;cb_gest;cb_user;cb_proptyp;cb_statut;cb_etat;cb_dateins;cb_datemes;cb_avct;cb_tech;cb_typephy;cb_typelog;cb_rf_code;cb_capafo;cb_fo_disp;cb_fo_util;cb_modulo;cb_diam;cb_color;cb_lgreel;cb_localis;cb_comment;cb_creadat;cb_majdate;cb_majsrc;cb_abddate;cb_abdsrc
4605287;TERRITOIRE;IRS - 144FO - AV DE LA REPUBLIQUE / IRS -11 BOULEVARD DE REPUBLIQUE;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;26/06/2004;26/06/2004;C;OPT;C;LH;RF22;144;144;0;12;;4;229,9156;;;26/06/2004;;;;
7560882;TERRITOIRE;IRS - 144 FO - N-1 VILLENEUVE LE ROI (HAUT) / FT 113 - 3 RUE DE LA MAIRIE (VILLENEUVE LE ROI);;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;02/12/2013;02/12/2013;C;OPT;C;LH;RF22;144;136;8;12;;4;264,8721;;;02/12/2013;;;;
25134210;TERRITOIRE;IRS - 36 FO - IRS - FT 2569 - 27 RUE DES CHAMPS / IRS - FT 2213 - COULEE VERTE;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;06/08/2021;06/08/2021;C;OPT;C;TR;RF50;36;36;0;3;;4;1169,3959;;;06/08/2021;;;;
33364903;TERRITOIRE;IRS - 36 FO - RUE DE LA MOTTE - BPE 3  / FT 160 - 35 AVENUE EDOUARD VAILLANT;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;22/08/2022;22/08/2022;C;OPT;C;TR;RF50;36;36;0;3;;4;1135,5928;;;22/08/2022;;;;
5935891;HORS TERRITOIRE;IRS - 72 FO - 9 BD HELOISE D909 ENTREE SQUARE BAGUETTE BPE1-BPE2;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;20/03/2013;20/03/2013;C;OPT;C;TR;RF28;72;66;6;6;;4;11,6310;;;20/03/2013;;;;
15189494;TERRITOIRE;IRS - 12 FO - AVE BARBUSSE-CONVENTION/POP ECOLE LOUISSE MICHEL ( LA COURNEUVE)-AA;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;01/07/2019;01/07/2019;C;OPT;C;DI;RF27;12;8;4;2;;5;280,6816;;;01/07/2019;;;;
4609791;TERRITOIRE;IRS - VERDUN CLAVIZIS/COLONEL FABIEN BONNEUIL;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;29/07/2005;29/07/2005;C;OPT;C;TR;RF16;72;33;39;6;;4;373,9443;;;29/07/2005;;;;
9319761;TERRITOIRE;IRS - 12 FO - POP NOVEXX RUNGIS/RUE DES SOLETS-ANGLE RUE DES CEVENNES;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;15/09/2015;15/09/2015;C;OPT;C;DI;RF45;12;12;0;2;;4;97,8206;;;15/09/2015;;;;
4631507;TERRITOIRE;IRS - 24FO BI/POP MONASTERE (D24);;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;24/07/2009;24/07/2009;C;OPT;C;DI;RF15;24;22;2;4;;4;35,3555;;;24/07/2009;;;;
4609657;TERRITOIRE;IRS - 24FO 1 - ANGLE TESSIER LUSSAC / PRC INEO 2 TESSIER;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;01/02/2011;01/02/2011;C;OPT;C;DI;RF15;24;22;2;4;;4;44,2721;;;01/02/2011;;;;
4630889;TERRITOIRE;IRS - 24FO - N-1 GS DAGUERRE/GS DAGUERRE;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;23/09/2009;23/09/2009;C;OPT;C;DI;RF15;24;20;4;4;;4;38,4484;;;23/09/2009;;;;
4610946;TERRITOIRE;IRS - 12FO - AV DU PRESIDENT WILSON/POP CNAM ST DENIS;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;19/07/2006;19/07/2006;C;OPT;C;DI;RF14;12;6;6;2;;4;100,1675;;;19/07/2006;;;;
4624008;TERRITOIRE;IRS - 72FO - RUE LGJMEAU/RUE ARCUEIL;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;18/05/2011;18/05/2011;C;OPT;C;TR;RF16;72;70;2;6;;4;299,4169;;;18/05/2011;;;;
34618022;TERRITOIRE;IRS - BAGUETTE 144 FO - 38 RUE DE FONTENAY BPE 1 / 38 RUE DE FONTENAY BPE 2;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;25/10/2022;25/10/2022;C;OPT;C;LH;RF22;144;144;0;12;;4;47,2634;;;25/10/2022;;;;
4607268;TERRITOIRE;IRS - 144FO - 54 AVENUE ANDRE MORIZET - BPE 1 / 38 RUE PAUL BERT - BPE 1;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;20/03/2007;20/03/2007;C;OPT;C;LH;RF22;144;105;39;12;;4;391,0383;;;20/03/2007;;;;
