dm_cd_code;dm_cm_code;dm_creadat;dm_majdate;dm_majsrc;dm_abddate;dm_abdsrc
489155;559122;;;;;
489156;559122;;;;;
489157;559123;;;;;
489158;559124;;;;;
489159;559124;;;;;
489160;559124;;;;;
489161;559124;;;;;
489162;559125;;;;;
489163;559125;;;;;
489164;559125;;;;;
489165;559125;;;;;
489166;559126;;;;;
489167;559126;;;;;
489168;559126;;;;;
489169;559126;;;;;
489170;559127;;;;;
489171;559127;;;;;
489176;559130;;;;;
489177;559131;;;;;
489178;559131;;;;;
489183;559137;;;;;
489184;556243;;;;;
489185;556245;;;;;
489186;556246;;;;;
489187;556246;;;;;
489188;556249;;;;;
489189;556249;;;;;
489190;556250;;;;;
489191;556250;;;;;
489192;556251;;;;;
489193;556252;;;;;
489194;556252;;;;;
489195;556252;;;;;
488957;559924;;;;;
488958;559925;;;;;
488925;562552;;;;;
488926;562553;;;;;
488927;562553;;;;;
488928;562554;;;;;
488929;562557;;;;;
488930;562557;;;;;
488932;562560;;;;;
488933;562560;;;;;
488934;562562;;;;;
488935;562564;;;;;
488936;562566;;;;;
488937;562567;;;;;
488938;562570;;;;;
488939;562572;;;;;
488940;562574;;;;;
488941;562574;;;;;
488942;562576;;;;;
488943;562576;;;;;
488955;559920;;;;;
488464;561449;;;;;
488465;561451;;;;;
488466;561451;;;;;
488467;561453;;;;;
488468;561454;;;;;
488469;561456;;;;;
488470;561459;;;;;
488472;561463;;;;;
488473;561464;;;;;
488474;561465;;;;;
488475;561465;;;;;
488477;561467;;;;;
488838;560097;;;;;
488839;560099;;;;;
488840;560099;;;;;
488841;560100;;;;;
488842;560101;;;;;
488605;560169;;;;;
488606;560170;;;;;
488608;560175;;;;;
488609;560177;;;;;
488610;560177;;;;;
488611;560178;;;;;
488612;560180;;;;;
488613;560181;;;;;
488615;560185;;;;;
488616;560188;;;;;
488617;561402;;;;;
488618;561402;;;;;
488619;561403;;;;;
488622;561408;;;;;
488626;561414;;;;;
488628;561418;;;;;
488629;561419;;;;;
488630;561419;;;;;
488631;561419;;;;;
488632;561420;;;;;
488633;561420;;;;;
488636;561423;;;;;
488637;561423;;;;;
488639;561427;;;;;
488655;561489;;;;;
