lt_code;lt_codeext;lt_etiquet;lt_st_code;lt_prop;lt_gest;lt_user;lt_proptyp;lt_statut;lt_etat;lt_dateins;lt_datemes;lt_local;lt_elec;lt_clim;lt_occp;lt_idmajic;lt_comment;lt_creadat;lt_majdate;lt_majsrc;lt_abddate;lt_abdsrc
3078386;SALLE 24A;SALLE 24A;3465322;OR225;OR238;;CST;MCO;OK;23/08/2002;23/08/2002;;False;;;;;23/08/2002 00:00;;;;
3077614;SALLE CEGETEL - RDC 15D;SALLE CEGETEL - RDC 15D;3465334;OR225;OR300;;CST;MCO;OK;28/11/2007;28/11/2007;;True;;;;;28/11/2007 00:00;;;;
3077606;SALLE RENATER;SALLE RENATER;3465334;OR225;OR238;;CST;MCO;OK;21/10/2009;21/10/2009;;True;;;;;21/10/2009 00:00;;;;
3077612;SALLE 7C - CAPGEMINI;SALLE 7C - CAPGEMINI;3465334;OR225;OR238;;CST;MCO;OK;20/05/2008;20/05/2008;;True;;;;;20/05/2008 00:00;;;;
3080835;MMR - SALLE B2;MMR - SALLE B3;3465180;OR225;OR238;;CST;MCO;OK;21/11/2006;21/11/2006;;False;;;;;21/11/2006 00:00;;;;
3077731;LT FOD LTR5;LT FOD LTR6;3461657;OR225;OR238;;CST;MCO;OK;24/01/2002;24/01/2002;;False;;;;;24/01/2002 00:00;;;;
7248824;LOCAL TECHNIQUE - CERGY PARC ST CHRISTOPHE;LOCAL TECHNIQUE - CERGY PARC ST CHRISTOPHE;3462448;OR21;OR238;;CST;MCO;OK;20/06/2016;20/06/2016;;True;;;;;20/06/2016 00:00;;;;
3881976;LT - BAT EDISON 5;LT - BAT EDISON 6;3462448;OR21;OR238;;CST;MCO;OK;27/03/2013;27/03/2013;;True;;;;;27/03/2013 00:00;;;;
3086907;PT ARMOIRE DE BOBIGNY (IRISE);PT ARMOIRE DE BOBIGNY (IRISE);3464411;OR21;OR295;;CST;MCO;OK;31/03/2008;31/03/2008;;False;;;;;31/03/2008 00:00;;;;
3078910;LT CAA GRAVELLE ST MAUR - SALLE REPARTITEUR;LT CAA GRAVELLE ST MAUR - SALLE REPARTITEUR;3464527;OR19;OR238;;CST;MCO;OK;25/09/2002;25/09/2002;;False;;;;;25/09/2002 00:00;;;;
3089418;NRA MONTIGNY LES CORMEILLES - SALLE REPARTITEUR;NRA MONTIGNY LES CORMEILLES - SALLE REPARTITEUR;3461319;OR19;OR238;;CST;MCO;OK;20/11/2009;20/11/2009;;False;;;;;20/11/2009 00:00;;;;
3089612;NRA GENNEVILLIERS - SALLE REPARTITEUR;NRA GENNEVILLIERS - SALLE REPARTITEUR;3462650;OR19;OR238;;CST;MCO;OK;13/10/2009;13/10/2009;;False;;;;;13/10/2009 00:00;;;;
