WKT;ND_CODE;ND_CODEEXT;ND_NOM;ND_CODERAT;ND_R1_CODE;ND_R2_CODE;ND_R3_CODE;ND_R4_CODE;ND_VOIE;ND_TYPE;ND_TYPE_EP;ND_COMMENT;ND_DTCLASS;ND_GEOLQLT;ND_GEOLMOD;ND_GEOLSRC;ND_CREADAT;ND_MAJDATE;ND_MAJSRC;ND_ABDDATE;ND_ABDSRC
"POINT (639006.431922097 6865876.45112167)";"3461273";"3461273";POP UCB RUEIL;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2005-04-22 00:00:00;;;;
"POINT (639060.428805627 6865768.19298347)";"3461275";"3461275";POP EUROVIA PLACE DE L'EUROPE (RUEIL MALMAISON);;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2012-04-27 00:00:00;;;;
"POINT (639091.526635791 6860251.4473742)";"3461279";"3461279";AP-HP - HOPITAL RAYMOND POINCARE;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2004-04-29 00:00:00;;;;
"POINT (639349.521329388 6865670.64869146)";"3461284";"3461284";POP FRANCE BOISSON HEINEKEN;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2003-11-18 00:00:00;;;;
"POINT (639523.315374729 6866577.02580107)";"3461299";"3461299";AP-HP - HOPITAL PHARMACIE CENTRALE DES HOPITAUX;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2004-04-29 00:00:00;;;;
"POINT (639585.022657142 6866352.17158295)";"3461304";"3461304";POP SOLDATA NANTERRE;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2012-08-10 00:00:00;;;;
"POINT (639543.107579696 6861190.09332011)";"3461306";"3461306";POP BOLLORE BD PAUCHET;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2007-09-24 00:00:00;;;;
"POINT (639768.414159022 6866155.41981708)";"3461311";"3461311";POP MACSF PORT NANTERRE;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2007-12-05 00:00:00;;;;
"POINT (639921.047288532 6866575.68992472)";"3461314";"3461314";POP NANTERRE GARAGE MUNICIPAL POP;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2006-01-30 00:00:00;;;;
"POINT (640251.772131018 6866816.26140309)";"3461322";"3461322";POP SHELL NANTERRE;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2008-07-29 00:00:00;;;;
