or_code;or_nom;or_siren;or_type;or_activ;or_l331;or_siret;or_nometab;or_ad_code;or_nomvoie;or_numero;or_rep;or_local;or_postal;or_commune;or_telfixe;or_mail;or_comment;or_creadat;or_majdate;or_majsrc;or_abddate;or_abdsrc
OR1;SFR;;;;;;;;;;;;;;;;;;;;;
OR2;UPC;;;;;;;;;;;;;;;;;;;;;
OR3;TELIASONERA;;;;;;;;;;;;;;;;;;;;;
OR4;TELCITE;;;;;;;;;;;;;;;;;;;;;
OR5;SITER;;;;;;;;;;;;;;;;;;;;;
OR6;SILIC;;;;;;;;;;;;;;;;;;;;;
OR7;BELGACOM;;;;;;;;;;;;;;;;;;;;;
OR8;SEMACH;;;;;;;;;;;;;;;;;;;;;
OR9;SANEF;;;;;;;;;;;;;;;;;;;;;
OR10;RFF;;;;;;;;;;;;;;;;;;;;;
OR11;RESEAU VILLE;;;;;;;;;;;;;;;;;;;;;
OR12;PRIVE;;;;;;;;;;;;;;;;;;;;;
OR13;NUMERICABLE;;;;;;;;;;;;;;;;;;;;;
OR14;NTL;;;;;;;;;;;;;;;;;;;;;
OR15;LEVEL 3;;;;;;;;;;;;;;;;;;;;;
OR16;INDETERMINE;;;;;;;;;;;;;;;;;;;;;
OR17;L21-INTEROUTE;;;;;;;;;;;;;;;;;;;;;
OR18;GLOBAL CROSSING;;;;;;;;;;;;;;;;;;;;;
OR19;FRANCE TELECOM;;;;;;;;;;;;;;;;;;;;;
OR20;DSP MAJ - OPALYS;;;;;;;;;;;;;;;;;;;;;
OR21;DSP MAJ - IRISE;;;;;;;;;;;;;;;;;;;;;
OR22;DDE;;;;;;;;;;;;;;;;;;;;;
OR23;COMPLETEL;;;;;;;;;;;;;;;;;;;;;
OR24;COLT;;;;;;;;;;;;;;;;;;;;;
OR25;COFIROUTE;;;;;;;;;;;;;;;;;;;;;
OR26;CHU;;;;;;;;;;;;;;;;;;;;;
OR27;BOUYGUES TELECOM;;;;;;;;;;;;;;;;;;;;;
OR28;METROPOLE DU GRAND PARIS;;;;;;;;;;;;;;;;;;;;;
OR29;VILLE DE ALFORTVILLE;;;;;;;;;;;;;;;;;;;;;
OR30;VILLE DE ANTONY;;;;;;;;;;;;;;;;;;;;;
OR31;VILLE DE ARCUEIL;;;;;;;;;;;;;;;;;;;;;
OR32;VILLE DE ASNIERES-SUR-SEINE;;;;;;;;;;;;;;;;;;;;;
OR33;VILLE DE AUBERVILLIERS;;;;;;;;;;;;;;;;;;;;;
OR34;VILLE DE BAGNEUX;;;;;;;;;;;;;;;;;;;;;
OR35;VILLE DE BAGNOLET;;;;;;;;;;;;;;;;;;;;;
OR36;VILLE DE BEZONS;;;;;;;;;;;;;;;;;;;;;
OR37;VILLE DE BOBIGNY;;;;;;;;;;;;;;;;;;;;;
OR38;VILLE DE BOIS-COLOMBES;;;;;;;;;;;;;;;;;;;;;
OR39;VILLE DE BONDY;;;;;;;;;;;;;;;;;;;;;
OR40;VILLE DE BONNEUIL-SUR-MARNE;;;;;;;;;;;;;;;;;;;;;
OR41;VILLE DE BOULOGNE-BILLANCOURT;;;;;;;;;;;;;;;;;;;;;
OR42;VILLE DE BOURG-LA-REINE;;;;;;;;;;;;;;;;;;;;;
OR43;VILLE DE BRY-SUR-MARNE;;;;;;;;;;;;;;;;;;;;;
OR44;VILLE DE CACHAN;;;;;;;;;;;;;;;;;;;;;
OR45;VILLE DE CHAMPIGNY-SUR-MARNE;;;;;;;;;;;;;;;;;;;;;
OR46;VILLE DE CHARENTON-LE-PONT;;;;;;;;;;;;;;;;;;;;;
OR47;VILLE DE CHATENAY-MALABRY;;;;;;;;;;;;;;;;;;;;;
OR48;VILLE DE CHATILLON;;;;;;;;;;;;;;;;;;;;;
OR49;VILLE DE CHAVILLE;;;;;;;;;;;;;;;;;;;;;
OR50;VILLE DE CHEVILLY-LARUE;;;;;;;;;;;;;;;;;;;;;
OR51;VILLE DE CHOISY-LE-ROI;;;;;;;;;;;;;;;;;;;;;
OR52;VILLE DE CLAMART;;;;;;;;;;;;;;;;;;;;;
OR53;VILLE DE CLICHY-LA-GARENNE;;;;;;;;;;;;;;;;;;;;;
OR54;VILLE DE COLOMBES;;;;;;;;;;;;;;;;;;;;;
OR55;VILLE DE COURBEVOIE;;;;;;;;;;;;;;;;;;;;;
OR56;VILLE DE CRETEIL;;;;;;;;;;;;;;;;;;;;;
OR57;VILLE DE DRANCY;;;;;;;;;;;;;;;;;;;;;
OR58;VILLE DE DUGNY;;;;;;;;;;;;;;;;;;;;;
OR59;VILLE DE EPINAY-SUR-SEINE;;;;;;;;;;;;;;;;;;;;;
