ps_code;ps_numero;ps_1;ps_2;ps_cs_code;ps_ti_code;ps_type;ps_fonct;ps_etat;ps_preaff;ps_comment;ps_creadat;ps_majdate;ps_majsrc;ps_abddate;ps_abdsrc
PS000000180371;5;;FO000000000113;1774603;;LB;AT;;;;05/07/2023 00:00;;;;
PS000000000000;1;FO000000000001;FO000000236080;1790299;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000000001;0;FO000000000004;FO000000079613;1790299;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000000002;3;FO000000000005;FO000000023093;1790303;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000000003;4;FO000000000006;FO000000023094;1790303;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000000004;5;FO000000000007;FO000000023095;1790303;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000000005;6;FO000000000008;FO000000023096;1790303;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000000006;9;FO000000000009;FO000000023099;1790303;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000000007;10;FO000000000010;FO000000023100;1790303;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000000008;1;FO000000000013;FO000000008065;1779765;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000000010;2;FO000000000014;FO000000008066;1779765;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000000012;3;FO000000000015;FO000000008067;1779765;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000000014;4;FO000000000016;FO000000008068;1779765;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000000016;1;FO000000000017;FO000000023091;1790303;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000000018;2;FO000000000018;FO000000023092;1790303;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000000020;1;FO000000000019;FO000000014827;1779771;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000000022;2;FO000000000020;FO000000014828;1779771;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000000024;3;FO000000000021;FO000000008089;1779771;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000000026;4;FO000000000022;FO000000008090;1779771;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000000028;1;FO000000000023;FO000000008075;1779766;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000000030;2;FO000000000024;FO000000008076;1779766;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000000032;1;FO000000000025;FO000000008071;1779759;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000000034;2;FO000000000026;FO000000008072;1779759;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000000036;3;FO000000000027;FO000000008073;1779766;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000000038;4;FO000000000028;FO000000008074;1779766;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000000040;1;FO000000000029;FO000000014829;1779760;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000000042;2;FO000000000030;FO000000014830;1779760;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000000044;1;FO000000000031;FO000000008053;1779753;;SFU;EP;;;;05/07/2023 00:00;;;;
