pt_code;pt_codeext;pt_etiquet;pt_nd_code;pt_ad_code;pt_gest_do;pt_prop_do;pt_prop;pt_gest;pt_user;pt_proptyp;pt_statut;pt_etat;pt_dateins;pt_datemes;pt_avct;pt_typephy;pt_typelog;pt_rf_code;pt_nature;pt_secu;pt_occp;pt_a_dan;pt_a_dtetu;pt_a_struc;pt_a_haut;pt_a_passa;pt_a_strat;pt_rotatio;pt_detec;pt_comment;pt_creadat;pt_majdate;pt_majsrc;pt_abddate;pt_abdsrc
2421426;TERRITOIRE;SFR;2421426;;OR227;OR227;OR1;OR1;;OCC;MCO;OK;18/04/2018;;E;C;T;;L5T;;;;;;;;;;;;;;;;
2851506;TERRITOIRE;CH2851506;2851506;;OR287;OR287;OR1;OR1;;OCC;MCO;OK;06/11/2019;;E;C;T;;L3T;;;;;;;;;;;;;;;;
2851507;TERRITOIRE;CH2851507;2851507;;OR287;OR287;OR1;OR1;;OCC;MCO;OK;06/11/2019;;E;C;T;;L2T;;;;;;;;;;;;;;;;
2851509;TERRITOIRE;CH2851509;2851509;;OR287;OR287;OR1;OR1;;OCC;MCO;OK;06/11/2019;;E;C;T;;L2T;;;;;;;;;;;;;;;;
2851511;TERRITOIRE;CH2851511;2851511;;OR287;OR287;OR1;OR1;;OCC;MCO;OK;06/11/2019;;E;C;T;;L1T;;;;;;;;;;;;;;;;
174629;TERRITOIRE;RUE CAMILLE BLANC ( ARCUEIL);174629;;OR228;OR228;OR1;OR1;;OCC;MCO;OK;23/01/2012;;E;C;T;;L3T;;;;;;;;;;;;;;;;
1391683;TERRITOIRE;AVENUE DE LA METALLURGIE II;1391683;;OR228;OR228;OR1;OR1;;OCC;MCO;OK;30/03/2015;;E;C;T;;K2C;;;;;;;;;;;;;;;;
2421427;TERRITOIRE;SFR;2421427;;OR227;OR227;OR1;OR1;;OCC;MCO;OK;18/04/2018;;E;C;T;;L5T;;;;;;;;;;;;;;;;
2851508;TERRITOIRE;CH2851508;2851508;;OR287;OR287;OR1;OR1;;OCC;MCO;OK;06/11/2019;;E;C;T;;L2T;;;;;;;;;;;;;;;;
2851505;TERRITOIRE;CH2851505;2851505;;OR287;OR287;OR1;OR1;;OCC;MCO;OK;06/11/2019;;E;C;T;;L2T;;;;;;;;;;;;;;;;
1674564;TERRITOIRE;L1T MAIRIE;1674564;;OR227;OR227;OR11;OR11;;OCC;MCO;OK;01/03/2016;;E;C;T;;L1T;;;;;;;;;;;;;;;;
1334264;TERRITOIRE;VILLE DE CHAVILLE;1334264;;OR227;OR227;OR11;OR11;;OCC;MCO;OK;29/10/2013;;E;C;T;;L2T;;;;;;;;;;;;;;;;
1346772;TERRITOIRE;VILLE DE CHAVILLE;1346772;;OR227;OR227;OR11;OR11;;OCC;MCO;OK;29/10/2013;;E;C;T;;L3T;;;;;;;;;;;;;;;;
