cs_code;cs_nb_pas;cs_bp_code;cs_num;cs_type;cs_face;cs_rf_code;cs_comment;cs_creadat;cs_majdate;cs_majsrc;cs_abddate;cs_abdsrc
1719435;;3286529;;E;;RF192;;07/10/2002 00:00;;;;
1760280;;3284824;;E;;RF192;;26/03/2002 00:00;;;;
1761353;;3290869;;E;;RF192;;20/06/2002 00:00;;;;
1761761;;3290935;;E;;RF192;;24/09/2002 00:00;;;;
1761782;;3285406;;E;;RF192;;11/09/2002 00:00;;;;
1762301;;3285506;;E;;RF192;;11/09/2002 00:00;;;;
1762463;;3286164;;E;;RF192;;23/07/2003 00:00;;;;
1762486;;3286198;;E;;RF192;;20/02/2003 00:00;;;;
1762519;;3286385;;E;;RF192;;20/02/2003 00:00;;;;
1762534;;3286385;;E;;RF192;;20/02/2003 00:00;;;;
1762748;;3288639;;E;;RF192;;24/06/2002 00:00;;;;
1762864;;3290153;;E;;RF192;;24/06/2002 00:00;;;;
1762937;;3291620;;E;;RF192;;06/08/2002 00:00;;;;
1767052;;3290265;;E;;RF192;;24/07/2002 00:00;;;;
1767604;;3290070;;E;;RF192;;24/07/2002 00:00;;;;
1767613;;3290070;;E;;RF192;;24/07/2002 00:00;;;;
1768656;;3291509;;E;;RF192;;09/08/2002 00:00;;;;
1768662;;3291509;;E;;RF192;;09/08/2002 00:00;;;;
1768833;;3291500;;E;;RF192;;09/08/2002 00:00;;;;
1768935;;3290236;;E;;RF192;;09/08/2002 00:00;;;;
1769600;;3289408;;E;;RF192;;04/10/2002 00:00;;;;
1769986;;3286701;;E;;RF192;;02/01/2003 00:00;;;;
1770386;;3288923;;E;;RF192;;12/09/2002 00:00;;;;
1770490;;3287019;;E;;RF192;;12/09/2002 00:00;;;;
1770696;;3287682;;E;;RF192;;12/09/2002 00:00;;;;
1771068;;3286889;;E;;RF192;;09/10/2002 00:00;;;;
1771829;;3290388;;E;;RF192;;10/10/2002 00:00;;;;
1771965;;3290868;;E;;RF192;;25/09/2002 00:00;;;;
1772105;;3292871;;E;;RF192;;25/09/2002 00:00;;;;
1772132;;3292963;;E;;RF192;;12/08/2003 00:00;;;;
1772638;;3286422;;E;;RF192;;07/10/2002 00:00;;;;
1772727;;3291071;;E;;RF192;;07/10/2002 00:00;;;;
1773277;;3290883;;E;;RF192;;07/10/2002 00:00;;;;
1773751;;3288959;;E;;RF192;;21/09/2004 00:00;;;;
1773934;;3285767;;E;;RF192;;26/03/2008 00:00;;;;
