CM_CODE;CM_CODEEXT;CM_NDCODE1;CM_NDCODE2;CM_CM1;CM_CM2;CM_R1_CODE;CM_R2_CODE;CM_R3_CODE;CM_R4_CODE;CM_VOIE;CM_GEST_DO;CM_PROP_DO;CM_STATUT;CM_ETAT;CM_DATCONS;CM_DATEMES;CM_AVCT;CM_TYPELOG;CM_TYP_IMP;CM_NATURE;CM_COMPO;CM_CDDISPO;CM_FO_UTIL;CM_MOD_POS;CM_PASSAGE;CM_REVET;CM_REMBLAI;CM_CHARGE;CM_LARG;CM_FILDTEC;CM_MUT_ORG;CM_LONG;CM_LGREEL;CM_COMMENT;CM_DTCLASS;CM_GEOLQLT;CM_GEOLMOD;CM_GEOLSRC;CM_CREADAT;CM_MAJDATE;CM_MAJSRC;CM_ABDDATE;CM_ABDSRC
"562323";TERRITOIRE;"1345423";"1345431";;;IRIS02;9SI;T94;"011";;OR228;OR16;MCO;OK;2010/08/17;2010/08/17;S;;"7";;;"0";"0";;;;;0.0000000000;0.0000000000;"0";;753.8712514900;753.8712514900;;;0.0000000000;;;17/08/2010;;;1899/12/30;
"563885";TERRITOIRE;"1339163";"1339166";;;IRIS02;9SI;T94;"033";;OR228;OR228;MCO;OK;2010/05/20;2010/05/20;S;;"7";;;"0";"0";;;;;0.0000000000;0.0000000000;"0";;59.4949157601;59.4949157601;;;0.0000000000;;;20/05/2010;;;1899/12/30;
"563900";HORS TERRITOIRE;"1338911";"1338742";;;IRIS01;9SI;T95;"539";;OR228;OR265;MCO;OK;2010/05/14;2010/05/14;S;;"7";;;"0";"0";;;;;0.0000000000;0.0000000000;"0";;57.5304710157;57.5304710157;;;0.0000000000;;;14/05/2010;;;1899/12/30;
"558943";TERRITOIRE;;;;;IRIS01;9SI;T93;"005";;OR228;OR289;MCO;OK;2013/07/05;2013/07/05;S;;"7";;;"0";"0";;;;;0.0000000000;0.0000000000;"0";;249.0390034510;249.0390034510;;;0.0000000000;;;05/07/2013;;;1899/12/30;
"559032";TERRITOIRE;;;;;IRIS01;9SI;T92;"072";;OR228;OR10;MCO;OK;2010/03/18;2010/03/18;S;;"7";;;"0";"0";;;;;0.0000000000;0.0000000000;"0";;193.1468989050;193.1468989050;;;0.0000000000;;;18/03/2010;;;1899/12/30;
"563854";TERRITOIRE;"1337648";"1348011";;;IRIS02;9SI;T93;"064";;OR228;OR228;MCO;OK;2013/07/05;2013/07/05;S;;"7";;;"0";"0";;;;;0.0000000000;0.0000000000;"0";;40.4712050251;40.4712050251;;;0.0000000000;;;05/07/2013;;;1899/12/30;
"565765";HORS TERRITOIRE;"1342604";"2495036";;;IRIS02;9SI;T95;"127";;OR228;OR16;MCO;OK;2013/06/28;2013/06/28;S;;"7";;;"0";"0";;;;;0.0000000000;0.0000000000;"0";;212.8896614670;212.8896614670;;;0.0000000000;;;28/06/2013;;;1899/12/30;
"570561";HORS TERRITOIRE;;;;;IRIS01;9SI;T91;"161";;OR228;OR12;MCO;OK;2013/05/02;2013/05/02;S;;"7";;;"0";"0";;;;;0.0000000000;0.0000000000;"0";;67.4437083888;67.4437083888;;;0.0000000000;;;02/05/2013;;;1899/12/30;
"1010298";TERRITOIRE;;"1937938";;;SFRC01;IRSA;T023;S001;;OR228;OR228;MCO;OK;2017/02/15;2017/02/15;S;;"7";;;"0";"0";;;;;0.0000000000;0.0000000000;"0";;67.2775034125;67.2775034125;;AP;0.0000000000;;;15/02/2017;;;1899/12/30;
"639463";HORS TERRITOIRE;;;;;IRIS03;2Z2;T60;;;OR228;OR317;MCO;OK;2015/04/02;2015/04/02;S;;"7";;;"0";"0";;;;;0.0000000000;0.0000000000;"0";;12.6397053257;12.6397053257;;;0.0000000000;;;02/04/2015;;;1899/12/30;
"562565";TERRITOIRE;"1346768";"1353146";;;IRIS02;9SI;T93;"066";;OR228;OR16;MCO;OK;2013/07/05;2013/07/05;S;;"7";;;"0";"0";;;;;0.0000000000;0.0000000000;"0";;461.9981668530;461.9981668530;;;0.0000000000;;;05/07/2013;;;1899/12/30;
"724244";TERRITOIRE;"1338085";"1344300";;;IRIS02;9SI;T93;"066";;OR228;OR16;MCO;OK;2015/08/12;2015/08/12;S;;"7";;;"0";"0";;;;;0.0000000000;0.0000000000;"0";;225.2512455240;225.2512455240;;;0.0000000000;;;12/08/2015;;;1899/12/30;
"560599";TERRITOIRE;;;;;IRIS02;9SI;T93;"045";;OR228;OR289;MCO;OK;2013/07/05;2013/07/05;S;;"7";;;"0";"0";;;;;0.0000000000;0.0000000000;"0";;206.1250179090;206.1250179090;;;0.0000000000;;;05/07/2013;;;1899/12/30;
"562912";TERRITOIRE;"1743408";"1743408";;;IRIS02;9SI;T93;"066";;OR228;OR228;MCO;OK;2013/07/05;2013/07/05;S;;"7";;;"0";"0";;;;;0.0000000000;0.0000000000;"0";;10.0824184976;10.0824184976;;;0.0000000000;;;05/07/2013;;;1899/12/30;
