cd_code;cd_codeext;cd_etiquet;cd_cd_code;cd_r1_code;cd_r2_code;cd_r3_code;cd_r4_code;cd_prop;cd_gest;cd_user;cd_proptyp;cd_statut;cd_etat;cd_dateaig;cd_dateman;cd_datemes;cd_avct;cd_type;cd_dia_int;cd_dia_ext;cd_color;cd_long;cd_nbcable;cd_occup;cd_comment;cd_creadat;cd_majdate;cd_majsrc;cd_abddate;cd_abdsrc
489155;;;;SFR_COLL;DSP MAJ - IRISE;T92;049;OR21;OR21;OR21;CST;MCO;OK;;;;E;;;;;0,30847441061;;;;04/07/2013;;;;
489156;;;;SFR_COLL;DSP MAJ - IRISE;T92;049;OR21;OR21;OR21;CST;MCO;OK;;;;E;;;;;0,30847441061;;;;04/07/2013;;;;
489157;;;;SFR_COLL;DSP MAJ - IRISE;T92;025;OR1;OR21;OR21;LOC;MCO;OK;;;;E;;;;;5,16361838830;;;;02/07/2013;;;;
489158;;;;SFR_COLL;DSP MAJ - IRISE;T92;025;OR1;OR21;OR21;LOC;MCO;OK;;;;E;;;;;4,49746666945;;;;02/07/2013;;;;
489159;;;;SFR_COLL;DSP MAJ - IRISE;T92;025;OR1;OR21;OR21;LOC;MCO;OK;;;;E;;;;;4,49746666945;;;;02/07/2013;;;;
489160;;;;SFR_COLL;DSP MAJ - IRISE;T92;025;OR1;OR21;OR21;LOC;MCO;OK;;;;E;;;;;4,49746666945;;;;02/07/2013;;;;
489161;;;;SFR_COLL;DSP MAJ - IRISE;T92;025;OR1;OR21;OR21;LOC;MCO;OK;;;;E;;;;;4,49746666945;;;;02/07/2013;;;;
489162;;;;SFR_COLL;DSP MAJ - IRISE;T92;025;OR1;OR21;OR21;LOC;MCO;OK;;;;E;;;;;10,42359413590;;;;02/07/2013;;;;
489163;;;;SFR_COLL;DSP MAJ - IRISE;T92;025;OR1;OR21;OR21;LOC;MCO;OK;;;;E;;;;;10,42359413590;;;;02/07/2013;;;;
489164;;;;SFR_COLL;DSP MAJ - IRISE;T92;025;OR1;OR21;OR21;LOC;MCO;OK;;;;E;;;;;10,42359413590;;;;02/07/2013;;;;
