do_code;do_ref;do_reftier;do_r1_code;do_r2_code;do_r3_code;do_r4_code;do_type;do_indice;do_date;do_classe;do_url1;do_url2;do_comment;do_creadat;do_majdate;do_majsrc;do_abddate;do_abdsrc
1;34930;9SI-3-T92-050-ZO-04;;;;;200;;;;;;;;;;;
2;34272;9SI-3-T93-006-RT-05;;;;;200;;;;;;;;;;;
3;34837;9SI-3-T93-072-RT-25;;;;;200;;;;;;;;;;;
4;62939;9SI-3-T93-078-RT-26;;;;;200;;;;;;;;;;;
5;34918;9SI-3-T93-071-RT-26;;;;;200;;;;;;;;;;;
6;35644;9SI-3-T91-345-ZO-50;;;;;200;;;;;;;;;;;
7;81685;9SI-3-T93-066-RT-162;;;;;200;;;;;;;;;;;
8;81769;9SI-3-T93-059-RT-27;;;;;200;;;;;;;;;;;
9;70962;9SI-3-T92-050-RT-41;;;;;200;;;;;;;;;;;
10;76611;NUME_9SI-3-T94-028-RT-15;;;;;500;;;;;;;;;;;
11;34455;9SI-3-T93-001-RT-01;;;;;200;;;;;;;;;;;
12;70041;9SI-3-T93-064-RT-05;;;;;200;;;;;;;;;;;
13;62024;9SI-3-T93-027-RT-52;;;;;200;;;;;;;;;;;
14;34710;9SI-3-T93-070-ZO-33;;;;;200;;;;;;;;;;;
15;28624;IRSA-3-T082-S004-PGC-01;;;;;200;;;;;;;;;;;
16;28625;IRSA-3-T068-S001-PGC-01;;;;;200;;;;;;;;;;;
17;33446;9SI-3-T94-081-RT-50;;;;;200;;;;;;;;;;;
18;33448;2Z2-3-T40-S01-RT-01;;;;;200;;;;;;;;;;;
19;33449;2Z2-3-T38-S00-SI-01;;;;;5000;;;;;;;;;;;
20;33450;2Z2-3-T38-S01-RT-01;;;;;200;;;;;;;;;;;
21;33451;2Z2-3-T33-S00-SI-01;;;;;5000;;;;;;;;;;;
22;33470;2Z2-3-T33-S01-RT-01;;;;;200;;;;;;;;;;;
23;33471;2Z2-3-T28-S00-SI-01;;;;;5000;;;;;;;;;;;
24;33473;2Z2-3-T19-S00-SI-01;;;;;5000;;;;;;;;;;;
25;33401;2Z3-3-T07-S00-SI-01;;;;;5000;;;;;;;;;;;
26;33494;2Z2-3-T12-S01-RT-01;;;;;200;;;;;;;;;;;
27;33495;2Z2-3-T07-S00-SI-01;;;;;5000;;;;;;;;;;;
28;33497;2Z1-3-T18-S00-SI-01;;;;;5000;;;;;;;;;;;
29;33402;2Z2-3-T94-S00-SI-01;;;;;5000;;;;;;;;;;;
30;33403;2Z2-3-T80-S00-SI-01;;;;;5000;;;;;;;;;;;
31;33404;2Z2-3-T80-S01-RT-01;;;;;200;;;;;;;;;;;
32;33498;2Z1-3-T18-S01-RT-01;;;;;200;;;;;;;;;;;
33;33499;2Z1-3-T13-S01-RT-03;;;;;200;;;;;;;;;;;
34;33359;9SI-3-T94-081-RT-01;;;;;200;;;;;;;;;;;
35;33360;9SI-3-T94-081-ZO-07;;;;;200;;;;;;;;;;;
36;33361;9SI-3-T94-081-ZO-11;;;;;200;;;;;;;;;;;
37;33362;9SI-3-T94-081-ZO-05;;;;;200;;;;;;;;;;;
38;33423;9SI-3-T94-081-ZO-04;;;;;200;;;;;;;;;;;
39;33424;9SI-3-T94-081-ZO-12;;;;;200;;;;;;;;;;;
