bp_code;bp_etiquet;bp_codeext;bp_pt_code;bp_sf_code;bp_prop;bp_gest;bp_user;bp_proptyp;bp_statut;bp_etat;bp_occp;bp_datemes;bp_avct;bp_typephy;bp_typelog;bp_rf_code;bp_entrees;bp_ref_kit;bp_ca_nb;bp_nb_pas;bp_linecod;bp_oc_code;bp_racco;bp_comment;bp_creadat;bp_majdate;bp_majsrc;bp_abddate;bp_abdsrc
3283214;N-1 URA CERGY LE HAZAY - BPE 1;HORS TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;05/07/2004;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 2.01064253549.044939953;05/07/2004;;;;
3283248;IRS - L3T IRISE ROND POINT DE CEDRE (CERGY) - BPE 1;HORS TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;30/09/2010;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.02896762E49.04293545N;30/09/2010;;;;
3283250;N-1 URA BOISSY - BPE 1;HORS TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;05/07/2004;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.02945655E49.07705654N;05/07/2004;;;;
3283253;IRS - N-1 POP AMEC SPIE (CERGY) - BPE 1;HORS TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;03/05/2012;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.03120394E49.04154834N;03/05/2012;;;;
3283254;IRS - AV DE LA BELLE HEAUMIERE (CERGY) - BPE 1;HORS TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;05/07/2004;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.02972774E49.04327475N;05/07/2004;;;;
3283279;IRS - AVEN-BEGUINES - BPE 1;HORS TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;29/03/2010;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.03599247E49.05039562N;29/03/2010;;;;
3283295;IRS - GENOTTES-BD DE LA PAIX - BPE 1;HORS TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;05/07/2004;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.03802429E49.05112648N;05/07/2004;;;;
3283340;IRS - BD D'OSNY??? - BPE 1;HORS TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;05/07/2004;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.04656940E49.05501394N;05/07/2004;;;;
3283371;IRS - ROUTE D'ABEIGLE_RUE DE CERGY (OSNY) - BPE 1;HORS TERRITOIRE;1552323;;OR21;OR1;OR21;CST;MCO;OK;1.1;05/07/2004;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.05053874E49.06428791N;05/07/2004;;;;
3283380;IRS - RUE ROGER ALNO - BPE 1;HORS TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;05/07/2004;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.05222518E49.06851837N;05/07/2004;;;;
3283385;IRS - BD DE L'OISE - BPE NON CONFIRMEE - BPE 1;HORS TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;05/07/2004;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.05348874E49.04729146N;05/07/2004;;;;
3283985;IRS - Rue Bas Noyer (Eragny) - BPE 1;HORS TERRITOIRE;192520;;OR21;OR1;OR21;CST;MCO;OK;1.1;10/01/2008;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.10102141E49.02926968N;10/01/2008;;;;
3283988;IRS - Rond Point Bas Noyer (Eragny) - BPE 1;HORS TERRITOIRE;192520;;OR21;OR1;OR21;CST;MCO;OK;1.1;10/01/2008;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.10135940E49.03007011N;10/01/2008;;;;
3283993;IRS - Clos SANTEUIL FRENES (Eragny) - BPE 1;HORS TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;10/01/2008;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.10204197E49.02741192N;10/01/2008;;;;
3283995;IRS - N-1 SFR Santeuil (Eragny) - BPE 1;HORS TERRITOIRE;192520;;OR21;OR1;OR21;CST;MCO;OK;1.1;10/01/2008;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.10238102E49.02967151N;10/01/2008;;;;
3283997;IRS -  CLOS SANTEUIL (ERAGNY) - BPE 1;HORS TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;10/01/2008;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.10250050E49.02564800N;10/01/2008;;;;
3283998;IRS -  BD DE L'OISE_RUE LARZAC (Eragny) - BPE 1;HORS TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;10/01/2008;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.10273088E49.02455195N;10/01/2008;;;;
3284009;IRS - AV GROS CHENE/ROSA LUXEMBOURG (ERAGNY) - BPE 1;HORS TERRITOIRE;1517441;;OR21;OR1;OR21;CST;MCO;OK;1.1;17/04/2012;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.10687277E49.02795240N;17/04/2012;;;;
3284012;IRS - N-1 WIKA INSTRUMENT (ERAGNY) - BPE 1;HORS TERRITOIRE;2032404;;OR21;OR1;OR21;CST;MCO;OK;1.1;17/04/2012;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.10651861E49.02593179N;17/04/2012;;;;
3284031;IRS - AV FERDINAND CHATELAIN(ERAGNY) - BPE 1;HORS TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;16/02/2012;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.11129801E49.02301713N;16/02/2012;;;;
