rf_code;rf_type;rf_fabric;rf_design;rf_etat;rf_comment;rf_creadat;rf_majdate;rf_majsrc;rf_abddate;rf_abdsrc
RF2;BP;OR16;INDETERMINE;;;;;;;
RF1;BP;OR237;PIRELLI;;;;;;;
RF3;BP;OR239;NEXANS;;;;;;;
RF4;BP;OR240;TYCO;;;;;;;
RF5;BP;OR241;TE Connectivity;;;;;;;
RF6;BP;OR242;POUYET;;;;;;;
RF7;BP;OR243;COMMSCOPE;;;;;;;
RF8;BP;OR244;Generique;;;;;;;
RF9;BP;OR246;Generique FT;;;;;;;
RF10;BP;OR247;BPE 3M;;;;;;;
RF11;BP;OR248;RAYCHEM;;;;;;;
RF12;CA;OR16;48 - 6@8 - FT - G652;;;;;;;
RF13;CA;OR244;2Fo Modulo 2 FT;;;;;;;
RF14;CA;OR16;12 - 2@6 - Ldcom - G652;;;;;;;
RF15;CA;OR16;24 - 4@6 - Ldcom - G652;;;;;;;
RF16;CA;OR16;72 - 6@12 - Ldcom - G652;;;;;;;
RF17;CA;OR271;CCU1580 - 24Fo - Modulo [12] - ldcom - G652D;;;;;;;
RF18;CA;OR244;72Fo - Modulo [12] - RFF - G652;;;;;;;
RF19;CA;OR16;48 - 4@12 - Ldcom - G652;;;;;;;
RF20;CA;OR244;48Fo - Modulo [6] - FT - G657;;;;;;;
RF21;CA;OR16;144 - 12@12 - SNCF||FT - G652;;;;;;;
RF22;CA;OR244;144Fo - Modulo [12] - ldcom - G652;;;;;;;
RF23;CA;OR16;72 - 6@12 - SNCF||FT - G652;;;;;;;
RF24;CA;OR16;24 - 2@12 - Ldcom - G652;;;;;;;
RF25;CA;OR244;24Fo - Modulo [6] - FT - G657A;;;;;;;
RF26;CA;OR244;36Fo - Modulo [6] - ldcom - G652;;;;;;;
RF27;CA;OR244;12Fo - Modulo [6] - FT - G657;;;;;;;
RF28;CA;OR244;72Fo - Modulo [12] - ldcom - G652;;;;;;;
RF29;CA;OR244;24Fo - Modulo [6] - FT - G657;;;;;;;
RF30;CA;OR244;24Fo - Modulo [6] - ldcom - G652;;;;;;;
RF31;CA;OR244;24Fo - Modulo [12] - FT - G657;;;;;;;
RF32;CA;OR244;288Fo - Modulo [12] - ldcom - G652;;;;;;;
RF33;CA;OR244;48Fo - Modulo [12] - FT - G652;;;;;;;
RF34;CA;OR244;1Fo Modulo 1 FT;;;;;;;
RF35;CA;OR239;SP1358 - 144Fo - Modulo [12] - ldcom - G652D;;;;;;;
RF36;CA;OR244;144Fo - Modulo [12] - RFF - G652;;;;;;;
RF37;CA;OR244;12Fo - Modulo[6]  - FT - G652;;;;;;;
RF38;CA;OR16;12 - 1@12 - Ldcom - G652;;;;;;;
RF39;CA;OR16;2 - 1@2 - Ldcom - G652;;;;;;;
RF40;CA;OR16;144 - 12@12 - Ldcom - G652;;;;;;;
RF41;CA;OR16;72 - 6@12 - FT - G652;;;;;;;
RF42;CA;OR16;36 - 6@6 - Ldcom - G652;;;;;;;
RF43;CA;OR16;48 - 6@8 - FT-2 - G652;;;;;;;
RF44;CA;OR267;FUDIFT-D2-KP - 48Fo - Modulo [12] - FT - G652D;;;;;;;
RF45;CA;OR244;12Fo - Modulo [6] - ldcom - G652;;;;;;;
RF46;CA;OR244;SP1440 - 144Fo - Modulo[12]  - Ldcom||FT - G652;;;;;;;
RF47;CA;OR244;48Fo - Modulo [12] - ldcom - G652;;;;;;;
RF48;CA;OR239;SP1103 - 24Fo - Modulo [6] - ldcom - G652D;;;;;;;
