rt_id;rt_code;rt_code_ext;rt_fo_code;rt_fo_ordr;rt_comment;rt_creadat;rt_majdate;rt_majsrc;rt_abddate;rt_abdsrc
0;1799;;FO000000233039;1;;05/07/2023 00:00;;;;
1;1799;;FO000000233111;2;;05/07/2023 00:00;;;;
2;1799;;FO000000232967;3;;05/07/2023 00:00;;;;
3;6388;;FO000000196504;1;;05/07/2023 00:00;;;;
4;8533;;FO000000112235;1;;05/07/2023 00:00;;;;
5;8533;;FO000000207665;2;;05/07/2023 00:00;;;;
6;8533;;FO000000207521;3;;05/07/2023 00:00;;;;
7;8533;;FO000000112379;4;;05/07/2023 00:00;;;;
8;8533;;FO000000112523;5;;05/07/2023 00:00;;;;
9;14786;;FO000000248362;1;;05/07/2023 00:00;;;;
10;14786;;FO000000248218;2;;05/07/2023 00:00;;;;
11;14786;;FO000000248074;3;;05/07/2023 00:00;;;;
12;14786;;FO000000247930;4;;05/07/2023 00:00;;;;
13;15396;;FO000000197468;1;;05/07/2023 00:00;;;;
14;15396;;FO000000197324;2;;05/07/2023 00:00;;;;
15;18116;;FO000000095025;1;;05/07/2023 00:00;;;;
16;18709;;FO000000264284;1;;05/07/2023 00:00;;;;
17;18709;;FO000000262842;2;;05/07/2023 00:00;;;;
18;18709;;FO000000262650;3;;05/07/2023 00:00;;;;
19;18709;;FO000000262998;4;;05/07/2023 00:00;;;;
20;19064;;FO000000171751;1;;05/07/2023 00:00;;;;
21;20233;;FO000000148025;1;;05/07/2023 00:00;;;;
22;20233;;FO000000147881;2;;05/07/2023 00:00;;;;
23;21493;;FO000000172637;1;;05/07/2023 00:00;;;;
24;21493;;FO000000172493;2;;05/07/2023 00:00;;;;
25;22797;;FO000000100376;4;;05/07/2023 00:00;;;;
26;23419;;FO000000062874;1;;05/07/2023 00:00;;;;
27;23419;;FO000000063042;2;;05/07/2023 00:00;;;;
28;24510;;FO000000170134;1;;05/07/2023 00:00;;;;
29;26734;;FO000000230003;1;;05/07/2023 00:00;;;;
30;26734;;FO000000229859;2;;05/07/2023 00:00;;;;
31;26734;;FO000000229715;3;;05/07/2023 00:00;;;;
32;26734;;FO000000229571;4;;05/07/2023 00:00;;;;
33;26777;;FO000000217111;1;;05/07/2023 00:00;;;;
34;27841;;FO000000176090;1;;05/07/2023 00:00;;;;
35;29561;;FO000000116005;1;;05/07/2023 00:00;;;;
36;29561;;FO000000077867;2;;05/07/2023 00:00;;;;
37;29561;;FO000000011001;3;;05/07/2023 00:00;;;;
38;29561;;FO000000011073;4;;05/07/2023 00:00;;;;
39;30744;;FO000000100839;1;;05/07/2023 00:00;;;;
40;30744;;FO000000100767;2;;05/07/2023 00:00;;;;
41;30744;;FO000000100695;3;;05/07/2023 00:00;;;;
42;30744;;FO000000100623;4;;05/07/2023 00:00;;;;
43;31264;;FO000000094173;1;;05/07/2023 00:00;;;;
44;32419;;FO000000266211;1;;05/07/2023 00:00;;;;
45;32419;;FO000000266067;2;;05/07/2023 00:00;;;;
46;32419;;FO000000241433;3;;05/07/2023 00:00;;;;
47;32419;;FO000000241289;4;;05/07/2023 00:00;;;;
48;32419;;FO000000241145;5;;05/07/2023 00:00;;;;
49;32419;;FO000000274352;6;;05/07/2023 00:00;;;;
50;32691;;FO000000249500;1;;05/07/2023 00:00;;;;
51;32691;;FO000000249644;2;;05/07/2023 00:00;;;;
52;32691;;FO000000249788;3;;05/07/2023 00:00;;;;
53;32691;;FO000000249932;4;;05/07/2023 00:00;;;;
54;32691;;FO000000250076;5;;05/07/2023 00:00;;;;
55;35094;;FO000000162104;1;;05/07/2023 00:00;;;;
56;35094;;FO000000161960;2;;05/07/2023 00:00;;;;
57;35094;;FO000000121202;3;;05/07/2023 00:00;;;;
58;35094;;FO000000105072;4;;05/07/2023 00:00;;;;
