st_code;st_nd_code;st_codeext;st_nom;st_prop;st_gest;st_user;st_proptyp;st_statut;st_etat;st_dateins;st_datemes;st_avct;st_typephy;st_typelog;st_nblines;st_ad_code;st_comment;st_creadat;st_majdate;st_majsrc;st_abddate;st_abdsrc
297675;297675;297675;POP FTTS AV GUILLERAIES NANTERRE;OR1;OR1;0R21;OCC;MCO;OK;12/12/2011;12/12/2011;E;Armoire Outdoor;HEBERG;12;;;12/12/2011;;;;
297711;297711;297711;IRS ARMOIRE ANGLE SOLETS-LONGJUMEAU (RUNGIS);OR1;OR2;0R21;OCC;MCO;OK;18/05/2011;18/05/2011;E;Armoire Outdoor;HEBERG;24;;;18/05/2011;;;;
306881;306881;306881;"IRS - ARMOIRE DE RUE - ""CAMERA 12"" - CARREFOUR DE LA CROIX DE NERNY (ANTONY)";OR21;OR1;0R21;CST;MCO;OK;07/12/2012;07/12/2012;E;Armoire Outdoor;BRASSAGE;72;;;07/12/2012;;;;
3461263;3461263;3461263;TD_PORCHEFONTAINE SB;OR1;OR1;0R21;OCC;MCO;OK;05/12/2007;05/12/2007;E;Shelter;BRASSAGE;72;;;05/12/2007;;;;
3461283;3461283;3461283;TELCITE REUIL MALMAISON;OR4;OR4;0R21;OCC;MCO;OK;18/11/2003;18/11/2003;E;Batiment;BRASSAGE;12;;;18/11/2003;;;;
3461288;3461288;3461288;POP FTTS VIROFLAY-NORD;OR1;OR1;0R21;OCC;MCO;OK;29/02/2012;29/02/2012;E;Batiment;HEBERG;12;;;29/02/2012;;;;
3461301;3461301;3461301;POP INTERXION 4 NANTERRE;OR225;OR231;0R21;OCC;MCO;OK;11/06/2007;11/06/2007;E;Batiment;HEBERG;216;;;11/06/2007;;;;
3461302;3461302;3461302;POP MGP INTERXION 4;OR225;OR231;0R21;OCC;MCO;OK;30/08/2007;30/08/2007;E;Batiment;HEBERG;144;;;30/08/2007;;;;
3461313;3461313;3461313;POP FTTS STADE VAUCRESSON;OR1;OR1;0R21;OCC;MCO;OK;29/11/2011;29/11/2011;E;Batiment;HEBERG;12;;;29/11/2011;;;;
3461335;3461335;3461335;POP FTTS GARCHES (STADE);OR1;OR1;0R21;OCC;MCO;OK;12/03/2012;12/03/2012;E;Batiment;HEBERG;12;;;12/03/2012;;;;
3461339;3461339;3461339;URA HOUILLES;OR19;OR19;0R21;OCC;MCO;OK;08/03/2004;08/03/2004;E;Batiment;NRA;36;;;08/03/2004;;;;
3461344;3461344;3461344;POP FTTS RUE DES BLANCHISSEURS (CHAVILLE GARE);OR1;OR1;0R21;OCC;MCO;OK;17/01/2012;17/01/2012;E;Batiment;HEBERG;12;;;17/01/2012;;;;
3461351;3461351;3461351;POP FTTS RUE DE LA FONTAINE (CHAVILLE);OR1;OR1;0R21;OCC;MCO;OK;17/01/2012;17/01/2012;E;Batiment;HEBERG;12;;;17/01/2012;;;;
3461361;3461361;3461361;POP FTTS NANTERRE BIS;OR1;OR1;0R21;OCC;MCO;OK;15/12/2011;15/12/2011;E;Batiment;HEBERG;12;;;15/12/2011;;;;
3461453;3461453;3461453;POP FTTS NANTERRE (STADE);OR1;OR1;0R21;OCC;MCO;OK;16/12/2011;16/12/2011;E;Batiment;HEBERG;12;;;16/12/2011;;;;
3461466;3461466;3461466;CAPITOLE;OR1;OR1;0R21;OCC;MCO;OK;31/05/2001;31/05/2001;E;Batiment;HEBERG;216;;;31/05/2001;;;;
3461550;3461550;3461550;POP FTTS NANTERRE GARE BIS;OR1;OR1;0R21;OCC;MCO;OK;19/12/2011;19/12/2011;E;Batiment;HEBERG;12;;;19/12/2011;;;;
3461580;3461580;3461580;POP NUMERICABLE SURESNES;OR13;OR13;0R21;OCC;MCO;OK;08/04/2002;08/04/2002;E;Batiment;HEBERG;12;;;08/04/2002;;;;
3461583;3461583;3461583;PONT DE SEVRES RD - NE PAS UTILISER;OR1;OR1;0R21;OCC;MCO;OK;19/03/2001;19/03/2001;E;Batiment;BRASSAGE;72;;;19/03/2001;;;;
