sf_code;sf_nd_code;sf_ad_code;sf_zp_code;sf_escal;sf_etage;sf_oper;sf_type;sf_prop;sf_resid;sf_local;sf_racco;sf_comment;sf_creadat;sf_majdate;sf_majsrc;sf_abddate;sf_abdsrc
3461304;3461304;3461304;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;10/08/2012;;;;
3461354;3461354;3461354;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;08/04/2010;;;;
3461362;3461362;3461362;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;31/01/2006;;;;
3461417;3461417;3461417;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;04/04/2011;;;;
3461479;3461479;3461479;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;10/02/2009;;;;
3461484;3461484;3461484;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/11/2011;;;;
3461504;3461504;3461504;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;04/05/2010;;;;
3461523;3461523;3461523;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;10/07/2008;;;;
3461628;3461628;3461628;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;22/11/2005;;;;
3461647;3461647;3461647;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;29/04/2004;;;;
3461740;3461740;3461740;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;25/05/2004;;;;
3461879;3461879;3461879;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;05/12/2007;;;;
3461972;3461972;3461972;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;16/05/2006;;;;
3462058;3462058;3462058;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;18/09/2007;;;;
3462082;3462082;3462082;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/01/2009;;;;
3462460;3462460;3462460;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;26/08/2011;;;;
3462529;3462529;3462529;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;14/11/2011;;;;
3462597;3462597;3462597;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;17/04/2012;;;;
3462687;3462687;3462687;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;26/09/2006;;;;
3462835;3462835;3462835;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;02/06/2010;;;;
3462857;3462857;3462857;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;15/02/2007;;;;
3462865;3462865;3462865;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;12/05/2006;;;;
3462868;3462868;3462868;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;14/04/2004;;;;
3462951;3462951;3462951;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;17/11/2005;;;;
3463026;3463026;3463026;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;17/11/2005;;;;
3463179;3463179;3463179;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;18/01/2006;;;;
3463271;3463271;3463271;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;07/07/2005;;;;
3463311;3463311;3463311;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;04/05/2004;;;;
3463319;3463319;3463319;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;12/10/2005;;;;
3463463;3463463;3463463;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;18/10/2006;;;;
3463469;3463469;3463469;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;02/07/2008;;;;
3463601;3463601;3463601;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;13/10/2010;;;;
3463610;3463610;3463610;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;19/10/2006;;;;
3463627;3463627;3463627;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;01/09/2004;;;;
3463942;3463942;3463942;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;22/11/2005;;;;
3464013;3464013;3464013;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;28/11/2006;;;;
3464035;3464035;3464035;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;04/01/2008;;;;
3464072;3464072;3464072;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;22/02/2012;;;;
3464145;3464145;3464145;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;26/06/2003;;;;
3464201;3464201;3464201;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;12/06/2007;;;;
3464245;3464245;3464245;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/01/2008;;;;
3464262;3464262;3464262;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;14/03/2006;;;;
3464319;3464319;3464319;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;16/02/2007;;;;
3464332;3464332;3464332;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/11/2006;;;;
3464336;3464336;3464336;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;28/09/2010;;;;
3464356;3464356;3464356;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/11/2006;;;;
3464368;3464368;3464368;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;31/03/2008;;;;
3464424;3464424;3464424;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;31/01/2011;;;;
3464426;3464426;3464426;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/10/2002;;;;
3464487;3464487;3464487;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/11/2006;;;;
3464508;3464508;3464508;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;27/04/2004;;;;
3464513;3464513;3464513;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/12/2007;;;;
3464519;3464519;3464519;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;20/05/2005;;;;
3464537;3464537;3464537;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/12/2007;;;;
3464565;3464565;3464565;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;11/10/2010;;;;
3464614;3464614;3464614;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;29/04/2004;;;;
3464739;3464739;3464739;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;25/09/2007;;;;
3464750;3464750;3464750;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;16/10/2007;;;;
3464753;3464753;3464753;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;20/05/2005;;;;
3464853;3464853;3464853;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;09/04/2009;;;;
3464859;3464859;3464859;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;28/04/2004;;;;
3464895;3464895;3464895;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;17/01/2006;;;;
3464990;3464990;3464990;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;16/01/2006;;;;
3464995;3464995;3464995;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;06/02/2006;;;;
3465009;3465009;3465009;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;06/02/2006;;;;
3465029;3465029;3465029;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;17/01/2006;;;;
3465067;3465067;3465067;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;17/01/2006;;;;
3465103;3465103;3465103;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;17/07/2009;;;;
3465116;3465116;3465116;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;19/07/2006;;;;
3465142;3465142;3465142;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;14/04/2004;;;;
3465192;3465192;3465192;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;08/07/2008;;;;
3465241;3465241;3465241;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;17/10/2011;;;;
3465344;3465344;3465344;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;03/02/2010;;;;
3823697;3823697;3823697;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;06/12/2012;;;;
4042881;4042881;4042881;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/01/2013;;;;
4244801;4244801;4244801;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;04/03/2013;;;;
