ti_code;ti_codeext;ti_etiquet;ti_ba_code;ti_prop;ti_etat;ti_type;ti_rf_code;ti_taille;ti_placemt;ti_localis;ti_comment;ti_creadat;ti_majdate;ti_majsrc;ti_abddate;ti_abdsrc
5529755;5529755;BO-0000043Y-TIROIR 13- AO 001-012;3005372;OR21;;TIROIR;RF195;;0;;site mono-fibre;12/06/2014 00:00;;;;
5970076;5970076;AJ-073-084;3005464;OR21;;TIROIR;RF195;;0;;site mono-fibre;19/11/2014 00:00;;;;
2998506;2998506;TETE ?;3128140;OR21;;TIROIR;RF195;;0;;site mono-fibre;15/10/2012 00:00;;;;
10538447;10538447;BAIE BO-000003GO - TIROIR 4 - NEXANS - AG 001-072;3005786;OR21;;TIROIR;RF193;;0;;site mono-fibre;30/01/2019 00:00;;;;
11509616;11509616;TI-FR-000003BA-XXX - AD 073-084;3004869;OR21;;TIROIR;RF195;;0;;site mono-fibre;17/09/2019 00:00;;;;
5014826;5014826;TIROIR IRISE - LOC POUR BOUYGUES;3128140;OR21;;TIROIR;RF195;;0;;site mono-fibre;03/01/2014 00:00;;;;
5101244;5101244;TIROIR-AA;4642397;OR21;;TIROIR;RF196;1;0;;site mono-fibre;29/01/2014 00:00;;;;
5529760;5529760;BO-0000043Y-TIROIR 14- AO 013-024;3005372;OR21;;TIROIR;RF195;;0;;site mono-fibre;12/06/2014 00:00;;;;
5529769;5529769;BO-0000043Y-TIROIR 23- AO 121-132;3005372;OR21;;TIROIR;RF195;;0;;site mono-fibre;12/06/2014 00:00;;;;
5970077;5970077;AJ-085-096;3005464;OR21;;TIROIR;RF195;;0;;site mono-fibre;19/11/2014 00:00;;;;
5970075;5970075;AJ-061-072;3005464;OR21;;TIROIR;RF195;;0;;site mono-fibre;19/11/2014 00:00;;;;
5529768;5529768;BO-0000043Y-TIROIR 22- AO 109-120;3005372;OR21;;TIROIR;RF195;;0;;site mono-fibre;12/06/2014 00:00;;;;
5529763;5529763;BO-0000043Y-TIROIR 17- AO 049-060;3005372;OR21;;TIROIR;RF195;;0;;site mono-fibre;12/06/2014 00:00;;;;
5529764;5529764;BO-0000043Y-TIROIR 18- AO 061-072;3005372;OR21;;TIROIR;RF195;;0;;site mono-fibre;12/06/2014 00:00;;;;
5529765;5529765;BO-0000043Y-TIROIR 19- AO 073-084;3005372;OR21;;TIROIR;RF195;;0;;site mono-fibre;12/06/2014 00:00;;;;
5970079;5970079;AJ-109-120;3005464;OR21;;TIROIR;RF195;;0;;site mono-fibre;19/11/2014 00:00;;;;
5529761;5529761;BO-0000043Y-TIROIR 15- AO 025-036;3005372;OR21;;TIROIR;RF195;;0;;site mono-fibre;12/06/2014 00:00;;;;
5529766;5529766;BO-0000043Y-TIROIR 20- AO 085-096;3005372;OR21;;TIROIR;RF195;;0;;site mono-fibre;12/06/2014 00:00;;;;
3825386;3825386;TIROIR IRISE ?;3128140;OR21;;TIROIR;RF195;;0;;site mono-fibre;03/04/2013 00:00;;;;
5026666;5026666;TIROIR-CA;4579020;OR21;;TIROIR;RF196;1;0;;site mono-fibre;08/01/2014 00:00;;;;
5970081;5970081;AJ-133-144;3005464;OR21;;TIROIR;RF195;;0;;site mono-fibre;19/11/2014 00:00;;;;
5529767;5529767;BO-0000043Y-TIROIR 21- AO 097-108;3005372;OR21;;TIROIR;RF195;;0;;site mono-fibre;12/06/2014 00:00;;;;
5529770;5529770;BO-0000043Y-TIROIR 24- AO 133-144;3005372;OR21;;TIROIR;RF195;;0;;site mono-fibre;12/06/2014 00:00;;;;
5529762;5529762;BO-0000043Y-TIROIR 16- AO 037-048;3005372;OR21;;TIROIR;RF195;;0;;site mono-fibre;12/06/2014 00:00;;;;
5871530;5871530;BAIE IRISE - IA 025-048;3021900;OR21;;TIROIR;RF194;1;0;;site mono-fibre;14/10/2014 00:00;;;;
5970078;5970078;AJ-097-108;3005464;OR21;;TIROIR;RF195;;0;;site mono-fibre;19/11/2014 00:00;;;;
2814127;2814127;AA 037-048;3005954;OR21;;TIROIR;RF194;1;20;;;24/09/2002 00:00;;;;
2815406;2815406;IA 121-132;3006269;OR21;;TIROIR;RF194;1;11;;;30/05/2008 00:00;;;;
2811834;2811834;AK 025-036;3005464;OR21;;TIROIR;RF194;1;8;;;30/11/2007 00:00;;;;
2809107;2809107;TI-FR-000003BA-XXX - AD 037-048;3004869;OR21;;TIROIR;RF194;1;4;;;09/12/2003 00:00;;;;
2822074;2822074;AC 013-024;3008204;OR21;;TIROIR;RF194;1;14;;;06/02/2006 00:00;;;;
2830404;2830404;COTE GAUCHE - TIROIR 04;3012250;OR21;;TIROIR;RF194;1;4;;;25/09/2007 00:00;;;;
2830416;2830416;COTE GAUCHE - TIROIR 18;3012250;OR21;;TIROIR;RF194;1;16;;;25/09/2007 00:00;;;;
2830422;2830422;COTE GAUCHE - TIROIR 24;3012250;OR21;;TIROIR;RF194;1;22;;;25/09/2007 00:00;;;;
2830442;2830442;COTE DROITE - TIROIR 64;3012250;OR21;;TIROIR;RF194;1;42;;;25/09/2007 00:00;;;;
2844291;2844291;TI-FR-00000337-CABLE 03-072 - AC 049-060;3019589;OR21;;TIROIR;RF194;1;29;;;02/04/2003 00:00;;;;
2813043;2813043;TI-FR-00000307-011 - AD 097-108;3005805;OR21;;TIROIR;RF194;1;11;;;20/11/2002 00:00;;;;
2814138;2814138;TI-FR-00000306-003-48FO;3005954;OR21;;TIROIR;RF194;1;3;;;24/09/2002 00:00;;;;
2830417;2830417;COTE GAUCHE - TIROIR 19;3012250;OR21;;TIROIR;RF194;1;17;;;25/09/2007 00:00;;;;
2830435;2830435;COTE DROITE - TIROIR 55;3012250;OR21;;TIROIR;RF194;1;35;;;25/09/2007 00:00;;;;
2844266;2844266;TI-FR-00000337-CABLE 04-048 - AD- 013-024;3019589;OR21;;TIROIR;RF194;1;32;;;22/04/2009 00:00;;;;
2810592;2810592;IA 013-024;3005218;OR21;;TIROIR;RF194;1;2;;;27/05/2003 00:00;;;;
2811837;2811837;AK 061-072;3005464;OR21;;TIROIR;RF194;1;11;;;30/11/2007 00:00;;;;
2814126;2814126;AA 025-036;3005954;OR21;;TIROIR;RF194;1;19;;;24/09/2002 00:00;;;;
2813737;2813737;BAIE BO-000003GO - TIROIR ALCATEL NÂ°1 -AF 001-048;3005786;OR21;;TIROIR;RF194;1;2;;;15/07/2004 00:00;;;;
2813740;2813740;BAIE BO-000003GO - TIROIR ALCATEL NÂ°3 -AF 097-144;3005786;OR21;;TIROIR;RF194;1;4;;;15/07/2004 00:00;;;;
2830444;2830444;COTE DROITE - TIROIR 66;3012250;OR21;;TIROIR;RF194;1;44;;;25/09/2007 00:00;;;;
2813203;2813203;TI-FR-000002ZR-003-B SUD 25 A 36;3005854;OR21;;TIROIR;RF194;1;3;;;23/08/2002 00:00;;;;
